i, 81920000, 16.3917, 275.973
i, 40960000, 7.6228, 137.021
i, 20480000, 3.9742, 68.456
i, 10240000, 1.8443, 34.24
i, 8192000, 1.9041, 27.39
i, 5948682, 6.6795, 20.752
i, 5948681, 4.9609, 19.918
i, 4096000, 0.8285, 13.733
i, 2820752, 1.002, 9.577
i, 2820751, 3.1625, 9.472
i, 2048000, 0.3929, 6.853
i, 1024000, 0.1731, 3.431
i, 102400, 0.0055, 0.344
i, 10240, 0.0003, 0.034
i, 1024, 0.0, 0.004
